Comunidades  autónomas;Gastos y duración media de los viajes;Tipo de dato;Periodo;Total
09 Cataluña;Gasto total;Tasa de variación anual;2017M10;5,60
09 Cataluña;Gasto total;Tasa de variación anual;2017M09;6,41
09 Cataluña;Gasto total;Tasa de variación anual;2017M08;10,54
09 Cataluña;Gasto total;Tasa de variación anual;2017M07;11,77
09 Cataluña;Gasto total;Tasa de variación anual;2017M06;18,29
09 Cataluña;Gasto total;Tasa de variación anual;2017M05;19,04
09 Cataluña;Gasto total;Tasa de variación anual;2017M04;22,57
09 Cataluña;Gasto total;Tasa de variación anual;2017M03;13,98
09 Cataluña;Gasto total;Tasa de variación anual;2017M02;11,38
09 Cataluña;Gasto total;Tasa de variación anual;2017M01;-1,29
09 Cataluña;Gasto total;Tasa de variación anual;2016M12;8,41
09 Cataluña;Gasto total;Tasa de variación anual;2016M11;1,44
09 Cataluña;Gasto total;Tasa de variación anual;2016M10;5,34
09 Cataluña;Gasto total;Tasa de variación anual;2016M09;9,31
09 Cataluña;Gasto total;Tasa de variación anual;2016M08;1,21
09 Cataluña;Gasto total;Tasa de variación anual;2016M07;3,21
09 Cataluña;Gasto total;Tasa de variación anual;2016M06;3,49
09 Cataluña;Gasto total;Tasa de variación anual;2016M05;3,88
09 Cataluña;Gasto total;Tasa de variación anual;2016M04;-6,09
09 Cataluña;Gasto total;Tasa de variación anual;2016M03;-2,17
09 Cataluña;Gasto total;Tasa de variación anual;2016M02;12,32
09 Cataluña;Gasto total;Tasa de variación anual;2016M01;16,55
09 Cataluña;Gasto total;Tasa de variación anual;2015M12;17,59
09 Cataluña;Gasto total;Tasa de variación anual;2015M11;20,77
09 Cataluña;Gasto total;Tasa de variación anual;2015M10;-2,19
09 Cataluña;Gasto total;Acumulado en lo que va de año;2020M12;3.640,39
09 Cataluña;Gasto total;Acumulado en lo que va de año;2020M11;3.555,40
09 Cataluña;Gasto total;Acumulado en lo que va de año;2020M10;3.512,16
09 Cataluña;Gasto total;Acumulado en lo que va de año;2020M09;3.377,21
09 Cataluña;Gasto total;Acumulado en lo que va de año;2020M08;3.190,77
09 Cataluña;Gasto total;Acumulado en lo que va de año;2020M07;2.758,28
09 Cataluña;Gasto total;Acumulado en lo que va de año;2020M06;2.334,31
09 Cataluña;Gasto total;Acumulado en lo que va de año;2020M05;2.295,49
09 Cataluña;Gasto total;Acumulado en lo que va de año;2020M04;2.295,49
09 Cataluña;Gasto total;Acumulado en lo que va de año;2020M03;2.295,49
09 Cataluña;Gasto total;Acumulado en lo que va de año;2020M02;1.879,33
09 Cataluña;Gasto total;Acumulado en lo que va de año;2020M01;904,38
09 Cataluña;Gasto total;Acumulado en lo que va de año;2019M12;21.318,75
09 Cataluña;Gasto total;Acumulado en lo que va de año;2019M11;20.237,67
09 Cataluña;Gasto total;Acumulado en lo que va de año;2019M10;19.267,50
09 Cataluña;Gasto total;Acumulado en lo que va de año;2019M09;17.399,52
09 Cataluña;Gasto total;Acumulado en lo que va de año;2019M08;15.122,04
09 Cataluña;Gasto total;Acumulado en lo que va de año;2019M07;12.346,51
09 Cataluña;Gasto total;Acumulado en lo que va de año;2019M06;9.357,14
09 Cataluña;Gasto total;Acumulado en lo que va de año;2019M05;6.842,56
09 Cataluña;Gasto total;Acumulado en lo que va de año;2019M04;4.841,54
09 Cataluña;Gasto total;Acumulado en lo que va de año;2019M03;3.196,27
09 Cataluña;Gasto total;Acumulado en lo que va de año;2019M02;1.957,80
09 Cataluña;Gasto total;Acumulado en lo que va de año;2019M01;943,90
09 Cataluña;Gasto total;Acumulado en lo que va de año;2018M12;20.477,77
09 Cataluña;Gasto total;Acumulado en lo que va de año;2018M11;19.415,63
09 Cataluña;Gasto total;Acumulado en lo que va de año;2018M10;18.398,51
09 Cataluña;Gasto total;Acumulado en lo que va de año;2018M09;16.688,47
09 Cataluña;Gasto total;Acumulado en lo que va de año;2018M08;14.502,66
09 Cataluña;Gasto total;Acumulado en lo que va de año;2018M07;11.776,39
09 Cataluña;Gasto total;Acumulado en lo que va de año;2018M06;8.876,21
09 Cataluña;Gasto total;Acumulado en lo que va de año;2018M05;6.490,29
09 Cataluña;Gasto total;Acumulado en lo que va de año;2018M04;4.585,14
09 Cataluña;Gasto total;Acumulado en lo que va de año;2018M03;3.073,05
09 Cataluña;Gasto total;Acumulado en lo que va de año;2018M02;1.927,73
09 Cataluña;Gasto total;Acumulado en lo que va de año;2018M01;904,24
09 Cataluña;Gasto total;Acumulado en lo que va de año;2017M12;19.224,09
09 Cataluña;Gasto total;Acumulado en lo que va de año;2017M11;18.346,62
09 Cataluña;Gasto total;Acumulado en lo que va de año;2017M10;17.417,99
09 Cataluña;Gasto total;Acumulado en lo que va de año;2017M09;15.868,78
09 Cataluña;Gasto total;Acumulado en lo que va de año;2017M08;13.698,54
09 Cataluña;Gasto total;Acumulado en lo que va de año;2017M07;11.043,89
09 Cataluña;Gasto total;Acumulado en lo que va de año;2017M06;8.238,08
09 Cataluña;Gasto total;Acumulado en lo que va de año;2017M05;6.124,53
09 Cataluña;Gasto total;Acumulado en lo que va de año;2017M04;4.304,53
09 Cataluña;Gasto total;Acumulado en lo que va de año;2017M03;2.804,84
09 Cataluña;Gasto total;Acumulado en lo que va de año;2017M02;1.746,95
09 Cataluña;Gasto total;Acumulado en lo que va de año;2017M01;820,18
09 Cataluña;Gasto total;Acumulado en lo que va de año;2016M12;17.466,80
09 Cataluña;Gasto total;Acumulado en lo que va de año;2016M11;16.526,61
09 Cataluña;Gasto total;Acumulado en lo que va de año;2016M10;15.548,84
09 Cataluña;Gasto total;Acumulado en lo que va de año;2016M09;14.081,74
09 Cataluña;Gasto total;Acumulado en lo que va de año;2016M08;12.042,27
09 Cataluña;Gasto total;Acumulado en lo que va de año;2016M07;9.640,77
09 Cataluña;Gasto total;Acumulado en lo que va de año;2016M06;7.130,40
09 Cataluña;Gasto total;Acumulado en lo que va de año;2016M05;5.343,58
09 Cataluña;Gasto total;Acumulado en lo que va de año;2016M04;3.814,62
09 Cataluña;Gasto total;Acumulado en lo que va de año;2016M03;2.591,08
09 Cataluña;Gasto total;Acumulado en lo que va de año;2016M02;1.662,98
09 Cataluña;Gasto total;Acumulado en lo que va de año;2016M01;830,87
09 Cataluña;Gasto total;Acumulado en lo que va de año;2015M12;""
09 Cataluña;Gasto total;Acumulado en lo que va de año;2015M11;""
09 Cataluña;Gasto total;Acumulado en lo que va de año;2015M10;3.235,71
09 Cataluña;Gasto total;Tasa de variación acumulada;2020M12;-82,92
09 Cataluña;Gasto total;Tasa de variación acumulada;2020M11;-82,43
09 Cataluña;Gasto total;Tasa de variación acumulada;2020M10;-81,77
09 Cataluña;Gasto total;Tasa de variación acumulada;2020M09;-80,59
09 Cataluña;Gasto total;Tasa de variación acumulada;2020M08;-78,90
09 Cataluña;Gasto total;Tasa de variación acumulada;2020M07;-77,66
09 Cataluña;Gasto total;Tasa de variación acumulada;2020M06;-75,05
09 Cataluña;Gasto total;Tasa de variación acumulada;2020M05;-66,45
09 Cataluña;Gasto total;Tasa de variación acumulada;2020M04;-52,59
09 Cataluña;Gasto total;Tasa de variación acumulada;2020M03;-28,18
09 Cataluña;Gasto total;Tasa de variación acumulada;2020M02;-4,01
09 Cataluña;Gasto total;Tasa de variación acumulada;2020M01;-4,19
09 Cataluña;Gasto total;Tasa de variación acumulada;2019M12;4,11
09 Cataluña;Gasto total;Tasa de variación acumulada;2019M11;4,23
09 Cataluña;Gasto total;Tasa de variación acumulada;2019M10;4,72
09 Cataluña;Gasto total;Tasa de variación acumulada;2019M09;4,26
09 Cataluña;Gasto total;Tasa de variación acumulada;2019M08;4,27
09 Cataluña;Gasto total;Tasa de variación acumulada;2019M07;4,84
09 Cataluña;Gasto total;Tasa de variación acumulada;2019M06;5,42
09 Cataluña;Gasto total;Tasa de variación acumulada;2019M05;5,43
09 Cataluña;Gasto total;Tasa de variación acumulada;2019M04;5,59
09 Cataluña;Gasto total;Tasa de variación acumulada;2019M03;4,01
09 Cataluña;Gasto total;Tasa de variación acumulada;2019M02;1,56
09 Cataluña;Gasto total;Tasa de variación acumulada;2019M01;4,39
09 Cataluña;Gasto total;Tasa de variación acumulada;2018M12;6,52
09 Cataluña;Gasto total;Tasa de variación acumulada;2018M11;5,83
09 Cataluña;Gasto total;Tasa de variación acumulada;2018M10;5,63
09 Cataluña;Gasto total;Tasa de variación acumulada;2018M09;5,17
09 Cataluña;Gasto total;Tasa de variación acumulada;2018M08;5,87
09 Cataluña;Gasto total;Tasa de variación acumulada;2018M07;6,63
09 Cataluña;Gasto total;Tasa de variación acumulada;2018M06;7,75
09 Cataluña;Gasto total;Tasa de variación acumulada;2018M05;5,97
09 Cataluña;Gasto total;Tasa de variación acumulada;2018M04;6,52
09 Cataluña;Gasto total;Tasa de variación acumulada;2018M03;9,56
09 Cataluña;Gasto total;Tasa de variación acumulada;2018M02;10,35
09 Cataluña;Gasto total;Tasa de variación acumulada;2018M01;10,25
09 Cataluña;Gasto total;Tasa de variación acumulada;2017M12;10,06
09 Cataluña;Gasto total;Tasa de variación acumulada;2017M11;11,01
09 Cataluña;Gasto total;Tasa de variación acumulada;2017M10;12,02
09 Cataluña;Gasto total;Tasa de variación acumulada;2017M09;12,69
09 Cataluña;Gasto total;Tasa de variación acumulada;2017M08;13,75
09 Cataluña;Gasto total;Tasa de variación acumulada;2017M07;14,55
09 Cataluña;Gasto total;Tasa de variación acumulada;2017M06;15,53
09 Cataluña;Gasto total;Tasa de variación acumulada;2017M05;14,61
09 Cataluña;Gasto total;Tasa de variación acumulada;2017M04;12,84
09 Cataluña;Gasto total;Tasa de variación acumulada;2017M03;8,25
09 Cataluña;Gasto total;Tasa de variación acumulada;2017M02;5,05
09 Cataluña;Gasto total;Tasa de variación acumulada;2017M01;-1,29
09 Cataluña;Gasto total;Tasa de variación acumulada;2016M12;3,98
09 Cataluña;Gasto total;Tasa de variación acumulada;2016M11;3,74
09 Cataluña;Gasto total;Tasa de variación acumulada;2016M10;3,88
09 Cataluña;Gasto total;Tasa de variación acumulada;2016M09;3,74
09 Cataluña;Gasto total;Tasa de variación acumulada;2016M08;2,85
09 Cataluña;Gasto total;Tasa de variación acumulada;2016M07;3,26
09 Cataluña;Gasto total;Tasa de variación acumulada;2016M06;3,29
09 Cataluña;Gasto total;Tasa de variación acumulada;2016M05;3,22
09 Cataluña;Gasto total;Tasa de variación acumulada;2016M04;2,95
09 Cataluña;Gasto total;Tasa de variación acumulada;2016M03;7,85
09 Cataluña;Gasto total;Tasa de variación acumulada;2016M02;14,39
09 Cataluña;Gasto total;Tasa de variación acumulada;2016M01;16,55
09 Cataluña;Gasto total;Tasa de variación acumulada;2015M12;""
09 Cataluña;Gasto total;Tasa de variación acumulada;2015M11;""
09 Cataluña;Gasto total;Tasa de variación acumulada;2015M10;127,22
09 Cataluña;Gasto medio por persona;Dato base;2020M12;873
09 Cataluña;Gasto medio por persona;Dato base;2020M11;736
09 Cataluña;Gasto medio por persona;Dato base;2020M10;585
09 Cataluña;Gasto medio por persona;Dato base;2020M09;675
09 Cataluña;Gasto medio por persona;Dato base;2020M08;942
09 Cataluña;Gasto medio por persona;Dato base;2020M07;971
09 Cataluña;Gasto medio por persona;Dato base;2020M06;507
09 Cataluña;Gasto medio por persona;Dato base;2020M05;0
09 Cataluña;Gasto medio por persona;Dato base;2020M04;0
09 Cataluña;Gasto medio por persona;Dato base;2020M03;1.023
09 Cataluña;Gasto medio por persona;Dato base;2020M02;1.011
09 Cataluña;Gasto medio por persona;Dato base;2020M01;1.041
09 Cataluña;Gasto medio por persona;Dato base;2019M12;1.089
09 Cataluña;Gasto medio por persona;Dato base;2019M11;926
09 Cataluña;Gasto medio por persona;Dato base;2019M10;1.114
09 Cataluña;Gasto medio por persona;Dato base;2019M09;1.132
09 Cataluña;Gasto medio por persona;Dato base;2019M08;1.174
09 Cataluña;Gasto medio por persona;Dato base;2019M07;1.257
09 Cataluña;Gasto medio por persona;Dato base;2019M06;1.155
09 Cataluña;Gasto medio por persona;Dato base;2019M05;1.090
09 Cataluña;Gasto medio por persona;Dato base;2019M04;984
09 Cataluña;Gasto medio por persona;Dato base;2019M03;967
09 Cataluña;Gasto medio por persona;Dato base;2019M02;984
09 Cataluña;Gasto medio por persona;Dato base;2019M01;1.037
09 Cataluña;Gasto medio por persona;Dato base;2018M12;1.096
09 Cataluña;Gasto medio por persona;Dato base;2018M11;983
09 Cataluña;Gasto medio por persona;Dato base;2018M10;1.027
09 Cataluña;Gasto medio por persona;Dato base;2018M09;1.089
09 Cataluña;Gasto medio por persona;Dato base;2018M08;1.120
09 Cataluña;Gasto medio por persona;Dato base;2018M07;1.195
09 Cataluña;Gasto medio por persona;Dato base;2018M06;1.134
09 Cataluña;Gasto medio por persona;Dato base;2018M05;1.010
09 Cataluña;Gasto medio por persona;Dato base;2018M04;963
09 Cataluña;Gasto medio por persona;Dato base;2018M03;941
09 Cataluña;Gasto medio por persona;Dato base;2018M02;1.008
09 Cataluña;Gasto medio por persona;Dato base;2018M01;1.046
09 Cataluña;Gasto medio por persona;Dato base;2017M12;1.066
09 Cataluña;Gasto medio por persona;Dato base;2017M11;946
09 Cataluña;Gasto medio por persona;Dato base;2017M10;1.035
09 Cataluña;Gasto medio por persona;Dato base;2017M09;1.085
09 Cataluña;Gasto medio por persona;Dato base;2017M08;1.034
09 Cataluña;Gasto medio por persona;Dato base;2017M07;1.097
09 Cataluña;Gasto medio por persona;Dato base;2017M06;1.043
09 Cataluña;Gasto medio por persona;Dato base;2017M05;947
09 Cataluña;Gasto medio por persona;Dato base;2017M04;855
09 Cataluña;Gasto medio por persona;Dato base;2017M03;916
09 Cataluña;Gasto medio por persona;Dato base;2017M02;937
09 Cataluña;Gasto medio por persona;Dato base;2017M01;969
09 Cataluña;Gasto medio por persona;Dato base;2016M12;983
09 Cataluña;Gasto medio por persona;Dato base;2016M11;968
09 Cataluña;Gasto medio por persona;Dato base;2016M10;939
09 Cataluña;Gasto medio por persona;Dato base;2016M09;1.087
09 Cataluña;Gasto medio por persona;Dato base;2016M08;960
09 Cataluña;Gasto medio por persona;Dato base;2016M07;1.048
09 Cataluña;Gasto medio por persona;Dato base;2016M06;965
09 Cataluña;Gasto medio por persona;Dato base;2016M05;938
09 Cataluña;Gasto medio por persona;Dato base;2016M04;825
09 Cataluña;Gasto medio por persona;Dato base;2016M03;862
09 Cataluña;Gasto medio por persona;Dato base;2016M02;894
09 Cataluña;Gasto medio por persona;Dato base;2016M01;960
09 Cataluña;Gasto medio por persona;Dato base;2015M12;974
09 Cataluña;Gasto medio por persona;Dato base;2015M11;936
09 Cataluña;Gasto medio por persona;Dato base;2015M10;915
09 Cataluña;Gasto medio por persona;Tasa de variación anual;2020M12;-19,76
09 Cataluña;Gasto medio por persona;Tasa de variación anual;2020M11;-20,61
09 Cataluña;Gasto medio por persona;Tasa de variación anual;2020M10;-47,48
09 Cataluña;Gasto medio por persona;Tasa de variación anual;2020M09;-40,35
09 Cataluña;Gasto medio por persona;Tasa de variación anual;2020M08;-19,82
09 Cataluña;Gasto medio por persona;Tasa de variación anual;2020M07;-22,76
09 Cataluña;Gasto medio por persona;Tasa de variación anual;2020M06;-56,15
09 Cataluña;Gasto medio por persona;Tasa de variación anual;2020M05;-100,00
09 Cataluña;Gasto medio por persona;Tasa de variación anual;2020M04;-100,00
09 Cataluña;Gasto medio por persona;Tasa de variación anual;2020M03;5,83
09 Cataluña;Gasto medio por persona;Tasa de variación anual;2020M02;2,70
09 Cataluña;Gasto medio por persona;Tasa de variación anual;2020M01;0,35
09 Cataluña;Gasto medio por persona;Tasa de variación anual;2019M12;-0,66
09 Cataluña;Gasto medio por persona;Tasa de variación anual;2019M11;-5,76
09 Cataluña;Gasto medio por persona;Tasa de variación anual;2019M10;8,51
09 Cataluña;Gasto medio por persona;Tasa de variación anual;2019M09;3,97
09 Cataluña;Gasto medio por persona;Tasa de variación anual;2019M08;4,82
09 Cataluña;Gasto medio por persona;Tasa de variación anual;2019M07;5,21
09 Cataluña;Gasto medio por persona;Tasa de variación anual;2019M06;1,89
09 Cataluña;Gasto medio por persona;Tasa de variación anual;2019M05;7,91
09 Cataluña;Gasto medio por persona;Tasa de variación anual;2019M04;2,26
09 Cataluña;Gasto medio por persona;Tasa de variación anual;2019M03;2,77
09 Cataluña;Gasto medio por persona;Tasa de variación anual;2019M02;-2,33
09 Cataluña;Gasto medio por persona;Tasa de variación anual;2019M01;-0,83
09 Cataluña;Gasto medio por persona;Tasa de variación anual;2018M12;2,74
09 Cataluña;Gasto medio por persona;Tasa de variación anual;2018M11;3,90
09 Cataluña;Gasto medio por persona;Tasa de variación anual;2018M10;-0,77
09 Cataluña;Gasto medio por persona;Tasa de variación anual;2018M09;0,33
09 Cataluña;Gasto medio por persona;Tasa de variación anual;2018M08;8,37
09 Cataluña;Gasto medio por persona;Tasa de variación anual;2018M07;8,87
09 Cataluña;Gasto medio por persona;Tasa de variación anual;2018M06;8,70
09 Cataluña;Gasto medio por persona;Tasa de variación anual;2018M05;6,65
09 Cataluña;Gasto medio por persona;Tasa de variación anual;2018M04;12,64
09 Cataluña;Gasto medio por persona;Tasa de variación anual;2018M03;2,72
09 Cataluña;Gasto medio por persona;Tasa de variación anual;2018M02;7,54
09 Cataluña;Gasto medio por persona;Tasa de variación anual;2018M01;7,88
09 Cataluña;Gasto medio por persona;Tasa de variación anual;2017M12;8,50
09 Cataluña;Gasto medio por persona;Tasa de variación anual;2017M11;-2,27
09 Cataluña;Gasto medio por persona;Tasa de variación anual;2017M10;10,24
09 Cataluña;Gasto medio por persona;Tasa de variación anual;2017M09;-0,12
09 Cataluña;Gasto medio por persona;Tasa de variación anual;2017M08;7,68
09 Cataluña;Gasto medio por persona;Tasa de variación anual;2017M07;4,67
09 Cataluña;Gasto medio por persona;Tasa de variación anual;2017M06;8,04
09 Cataluña;Gasto medio por persona;Tasa de variación anual;2017M05;1,03
09 Cataluña;Gasto medio por persona;Tasa de variación anual;2017M04;3,57
09 Cataluña;Gasto medio por persona;Tasa de variación anual;2017M03;6,23
09 Cataluña;Gasto medio por persona;Tasa de variación anual;2017M02;4,75
09 Cataluña;Gasto medio por persona;Tasa de variación anual;2017M01;1,00
09 Cataluña;Gasto medio por persona;Tasa de variación anual;2016M12;0,89
09 Cataluña;Gasto medio por persona;Tasa de variación anual;2016M11;3,38
09 Cataluña;Gasto medio por persona;Tasa de variación anual;2016M10;2,57
09 Cataluña;Gasto medio por persona;Tasa de variación anual;2016M09;5,85
09 Cataluña;Gasto medio por persona;Tasa de variación anual;2016M08;-3,17
09 Cataluña;Gasto medio por persona;Tasa de variación anual;2016M07;-0,32
09 Cataluña;Gasto medio por persona;Tasa de variación anual;2016M06;-4,41
09 Cataluña;Gasto medio por persona;Tasa de variación anual;2016M05;4,28
09 Cataluña;Gasto medio por persona;Tasa de variación anual;2016M04;-8,93
09 Cataluña;Gasto medio por persona;Tasa de variación anual;2016M03;-4,80
09 Cataluña;Gasto medio por persona;Tasa de variación anual;2016M02;0,72
09 Cataluña;Gasto medio por persona;Tasa de variación anual;2016M01;0,71
09 Cataluña;Gasto medio por persona;Tasa de variación anual;2015M12;13,90
09 Cataluña;Gasto medio por persona;Tasa de variación anual;2015M11;12,33
09 Cataluña;Gasto medio por persona;Tasa de variación anual;2015M10;-4,33
09 Cataluña;Gasto medio por persona;Acumulado en lo que va de año;2020M12;939
09 Cataluña;Gasto medio por persona;Acumulado en lo que va de año;2020M11;941
09 Cataluña;Gasto medio por persona;Acumulado en lo que va de año;2020M10;944
09 Cataluña;Gasto medio por persona;Acumulado en lo que va de año;2020M09;968
09 Cataluña;Gasto medio por persona;Acumulado en lo que va de año;2020M08;993
09 Cataluña;Gasto medio por persona;Acumulado en lo que va de año;2020M07;1.002
09 Cataluña;Gasto medio por persona;Acumulado en lo que va de año;2020M06;1.007
09 Cataluña;Gasto medio por persona;Acumulado en lo que va de año;2020M05;1.025
09 Cataluña;Gasto medio por persona;Acumulado en lo que va de año;2020M04;1.025
09 Cataluña;Gasto medio por persona;Acumulado en lo que va de año;2020M03;1.025
09 Cataluña;Gasto medio por persona;Acumulado en lo que va de año;2020M02;1.025
09 Cataluña;Gasto medio por persona;Acumulado en lo que va de año;2020M01;1.041
09 Cataluña;Gasto medio por persona;Acumulado en lo que va de año;2019M12;1.100
09 Cataluña;Gasto medio por persona;Acumulado en lo que va de año;2019M11;1.101
09 Cataluña;Gasto medio por persona;Acumulado en lo que va de año;2019M10;1.111
09 Cataluña;Gasto medio por persona;Acumulado en lo que va de año;2019M09;1.111
09 Cataluña;Gasto medio por persona;Acumulado en lo que va de año;2019M08;1.108
09 Cataluña;Gasto medio por persona;Acumulado en lo que va de año;2019M07;1.094
09 Cataluña;Gasto medio por persona;Acumulado en lo que va de año;2019M06;1.051
09 Cataluña;Gasto medio por persona;Acumulado en lo que va de año;2019M05;1.017
09 Cataluña;Gasto medio por persona;Acumulado en lo que va de año;2019M04;989
09 Cataluña;Gasto medio por persona;Acumulado en lo que va de año;2019M03;992
09 Cataluña;Gasto medio por persona;Acumulado en lo que va de año;2019M02;1.009
09 Cataluña;Gasto medio por persona;Acumulado en lo que va de año;2019M01;1.037
09 Cataluña;Gasto medio por persona;Acumulado en lo que va de año;2018M12;1.067
09 Cataluña;Gasto medio por persona;Acumulado en lo que va de año;2018M11;1.065
09 Cataluña;Gasto medio por persona;Acumulado en lo que va de año;2018M10;1.070
09 Cataluña;Gasto medio por persona;Acumulado en lo que va de año;2018M09;1.075
09 Cataluña;Gasto medio por persona;Acumulado en lo que va de año;2018M08;1.073
09 Cataluña;Gasto medio por persona;Acumulado en lo que va de año;2018M07;1.062
09 Cataluña;Gasto medio por persona;Acumulado en lo que va de año;2018M06;1.025
09 Cataluña;Gasto medio por persona;Acumulado en lo que va de año;2018M05;990
09 Cataluña;Gasto medio por persona;Acumulado en lo que va de año;2018M04;982
09 Cataluña;Gasto medio por persona;Acumulado en lo que va de año;2018M03;992
09 Cataluña;Gasto medio por persona;Acumulado en lo que va de año;2018M02;1.025
09 Cataluña;Gasto medio por persona;Acumulado en lo que va de año;2018M01;1.046
09 Cataluña;Gasto medio por persona;Acumulado en lo que va de año;2017M12;1.006
09 Cataluña;Gasto medio por persona;Acumulado en lo que va de año;2017M11;1.003
09 Cataluña;Gasto medio por persona;Acumulado en lo que va de año;2017M10;1.006
09 Cataluña;Gasto medio por persona;Acumulado en lo que va de año;2017M09;1.003
09 Cataluña;Gasto medio por persona;Acumulado en lo que va de año;2017M08;991
09 Cataluña;Gasto medio por persona;Acumulado en lo que va de año;2017M07;982
09 Cataluña;Gasto medio por persona;Acumulado en lo que va de año;2017M06;948
09 Cataluña;Gasto medio por persona;Acumulado en lo que va de año;2017M05;919
09 Cataluña;Gasto medio por persona;Acumulado en lo que va de año;2017M04;907
09 Cataluña;Gasto medio por persona;Acumulado en lo que va de año;2017M03;938
09 Cataluña;Gasto medio por persona;Acumulado en lo que va de año;2017M02;952
09 Cataluña;Gasto medio por persona;Acumulado en lo que va de año;2017M01;969
09 Cataluña;Gasto medio por persona;Acumulado en lo que va de año;2016M12;963
09 Cataluña;Gasto medio por persona;Acumulado en lo que va de año;2016M11;962
09 Cataluña;Gasto medio por persona;Acumulado en lo que va de año;2016M10;961
09 Cataluña;Gasto medio por persona;Acumulado en lo que va de año;2016M09;964
09 Cataluña;Gasto medio por persona;Acumulado en lo que va de año;2016M08;946
09 Cataluña;Gasto medio por persona;Acumulado en lo que va de año;2016M07;942
09 Cataluña;Gasto medio por persona;Acumulado en lo que va de año;2016M06;910
09 Cataluña;Gasto medio por persona;Acumulado en lo que va de año;2016M05;893
09 Cataluña;Gasto medio por persona;Acumulado en lo que va de año;2016M04;876
09 Cataluña;Gasto medio por persona;Acumulado en lo que va de año;2016M03;902
09 Cataluña;Gasto medio por persona;Acumulado en lo que va de año;2016M02;926
09 Cataluña;Gasto medio por persona;Acumulado en lo que va de año;2016M01;960
09 Cataluña;Gasto medio por persona;Acumulado en lo que va de año;2015M12;""
09 Cataluña;Gasto medio por persona;Acumulado en lo que va de año;2015M11;""
09 Cataluña;Gasto medio por persona;Acumulado en lo que va de año;2015M10;976
09 Cataluña;Gasto medio por persona;Tasa de variación acumulada;2020M12;-14,64
09 Cataluña;Gasto medio por persona;Tasa de variación acumulada;2020M11;-14,54
09 Cataluña;Gasto medio por persona;Tasa de variación acumulada;2020M10;-15,05
09 Cataluña;Gasto medio por persona;Tasa de variación acumulada;2020M09;-12,90
09 Cataluña;Gasto medio por persona;Tasa de variación acumulada;2020M08;-10,39
09 Cataluña;Gasto medio por persona;Tasa de variación acumulada;2020M07;-8,47
09 Cataluña;Gasto medio por persona;Tasa de variación acumulada;2020M06;-4,13
09 Cataluña;Gasto medio por persona;Tasa de variación acumulada;2020M05;0,74
09 Cataluña;Gasto medio por persona;Tasa de variación acumulada;2020M04;3,54
09 Cataluña;Gasto medio por persona;Tasa de variación acumulada;2020M03;3,26
09 Cataluña;Gasto medio por persona;Tasa de variación acumulada;2020M02;1,58
09 Cataluña;Gasto medio por persona;Tasa de variación acumulada;2020M01;0,35
09 Cataluña;Gasto medio por persona;Tasa de variación acumulada;2019M12;3,15
09 Cataluña;Gasto medio por persona;Tasa de variación acumulada;2019M11;3,36
09 Cataluña;Gasto medio por persona;Tasa de variación acumulada;2019M10;3,86
09 Cataluña;Gasto medio por persona;Tasa de variación acumulada;2019M09;3,39
09 Cataluña;Gasto medio por persona;Tasa de variación acumulada;2019M08;3,30
09 Cataluña;Gasto medio por persona;Tasa de variación acumulada;2019M07;3,01
09 Cataluña;Gasto medio por persona;Tasa de variación acumulada;2019M06;2,50
09 Cataluña;Gasto medio por persona;Tasa de variación acumulada;2019M05;2,70
09 Cataluña;Gasto medio por persona;Tasa de variación acumulada;2019M04;0,76
09 Cataluña;Gasto medio por persona;Tasa de variación acumulada;2019M03;0,02
09 Cataluña;Gasto medio por persona;Tasa de variación acumulada;2019M02;-1,58
09 Cataluña;Gasto medio por persona;Tasa de variación acumulada;2019M01;-0,83
09 Cataluña;Gasto medio por persona;Tasa de variación acumulada;2018M12;6,09
09 Cataluña;Gasto medio por persona;Tasa de variación acumulada;2018M11;6,23
09 Cataluña;Gasto medio por persona;Tasa de variación acumulada;2018M10;6,38
09 Cataluña;Gasto medio por persona;Tasa de variación acumulada;2018M09;7,13
09 Cataluña;Gasto medio por persona;Tasa de variación acumulada;2018M08;8,20
09 Cataluña;Gasto medio por persona;Tasa de variación acumulada;2018M07;8,20
09 Cataluña;Gasto medio por persona;Tasa de variación acumulada;2018M06;8,17
09 Cataluña;Gasto medio por persona;Tasa de variación acumulada;2018M05;7,79
09 Cataluña;Gasto medio por persona;Tasa de variación acumulada;2018M04;8,27
09 Cataluña;Gasto medio por persona;Tasa de variación acumulada;2018M03;5,76
09 Cataluña;Gasto medio por persona;Tasa de variación acumulada;2018M02;7,70
09 Cataluña;Gasto medio por persona;Tasa de variación acumulada;2018M01;7,88
09 Cataluña;Gasto medio por persona;Tasa de variación acumulada;2017M12;4,42
09 Cataluña;Gasto medio por persona;Tasa de variación acumulada;2017M11;4,26
09 Cataluña;Gasto medio por persona;Tasa de variación acumulada;2017M10;4,64
09 Cataluña;Gasto medio por persona;Tasa de variación acumulada;2017M09;4,09
09 Cataluña;Gasto medio por persona;Tasa de variación acumulada;2017M08;4,82
09 Cataluña;Gasto medio por persona;Tasa de variación acumulada;2017M07;4,19
09 Cataluña;Gasto medio por persona;Tasa de variación acumulada;2017M06;4,16
09 Cataluña;Gasto medio por persona;Tasa de variación acumulada;2017M05;2,92
09 Cataluña;Gasto medio por persona;Tasa de variación acumulada;2017M04;3,57
